       t        x        y
       0 0.847799 0.568569
       1 1.004615 -0.269865
       2 0.363071 -0.932535
       3 -0.588663 -0.814474
       4 -1.045778 -0.049567
       5 -0.678118 0.746665
       6 0.254188 0.967334
       7 0.968222 0.365418
       8 0.907897 -0.480427
       9 0.114252 -0.993459
      10 -0.777880 -0.651771
      11 -1.029950 0.172407
      12 -0.467307 0.886324
      13 0.491939 0.873405
      14 1.034440 0.148375
      15 0.759361 -0.671232
      16 -0.142015 -0.989882
      17 -0.921036 -0.458248
      18 -0.957670 0.388399
      19 -0.227013 0.974005
      20 0.698773 0.728879
      21 1.044052 -0.073780
      22 0.565647 -0.829749
      23 -0.389034 -0.922254
      24 -1.011838 -0.246184
      25 -0.831590 0.589410
      26 0.027991 0.999608
      27 0.863420 0.547433
      28 0.996730 -0.293432
      29 0.336829 -0.942133
      30 -0.611243 -0.798668
      31 -1.046827 -0.025335
      32 -0.656972 0.763996
      33 0.281166 0.959930
      34 0.978128 0.342275
      35 0.894140 -0.502374
      36 0.086400 -0.996263
      37 -0.795850 -0.631946
      38 -1.024788 0.196369
      39 -0.442321 0.898622
      40 0.516202 0.859884
      41 1.038256 0.124284
      42 0.740303 -0.690311
      43 -0.169667 -0.985536
      44 -0.933551 -0.435852
      45 -0.946478 0.411205
      46 -0.199662 0.979932
      47 0.718923 0.710655
      48 1.041648 -0.097963
      49 0.542211 -0.844476
      50 -0.414700 -0.911304
      51 -1.018397 -0.222401
      52 -0.814801 0.609939
      53 0.055959 0.998433
      54 0.878446 0.526019
      55 0.988187 -0.316875
      56 0.310329 -0.951034
      57 -0.633374 -0.782349
      58 -1.047197 -0.001093
      59 -0.635348 0.780853
      60 0.307926 0.951803
      61 0.987384 0.318982
      62 0.879772 -0.524074
      63 0.058480 -0.998289
      64 -0.813259 -0.611775
      65 -1.018956 0.220251
      66 -0.417000 0.910284
      67 0.540078 0.845776
      68 1.041398 0.100143
      69 0.720715 -0.708991
      70 -0.197187 -0.980430
      71 -0.945437 -0.413252
      72 -0.934649 0.433822
      73 -0.172155 0.985107
      74 0.738558 0.692012
      75 1.038567 -0.122108
      76 0.518371 -0.858635
      77 -0.440051 -0.899700
      78 -1.024289 -0.198526
      79 -0.797443 0.630141
      80 0.083884 0.996478
      81 0.892869 0.504341
      82 0.978990 -0.340181
      83 0.283589 -0.959226
      84 -0.655041 -0.765536
      85 -1.046888 0.023149
      86 -0.613258 0.797217
      87 0.334449 0.942965
      88 0.995986 0.295552
      89 0.864800 -0.545513
      90 0.030514 -0.999534
      91 -0.830099 -0.591274
      92 -1.012457 0.244043
      93 -0.391362 0.921293
      94 0.563550 0.831100
      95 1.043863 0.075962
      96 0.700611 -0.727253
      97 -0.224553 -0.974570
      98 -0.956687 -0.390463
      99 -0.922190 0.456237
     100 -0.144514 0.989521
     101 0.757664 0.672968
     102 1.034812 -0.146204
     103 0.494143 -0.872210
     104 -0.465067 -0.887459
     105 -1.029512 -0.174571
     106 -0.779524 0.649997
     107 0.111744 0.993744
     108 0.906681 0.482416
     109 0.969142 -0.363338
     110 0.256630 -0.966696
     111 -0.676231 -0.748247
     112 -1.045901 0.047382
     113 -0.590717 0.813070
     114 0.360715 0.933429
     115 1.003931 0.271995
     116 0.849232 -0.566675
     117 0.002525 -0.999997
     118 -0.846361 -0.570461
     119 -1.005293 0.267734
     120 -0.365424 0.931635
     121 0.586605 0.815874
     122 1.045651 0.051752
     123 0.680002 -0.745079
     124 -0.251745 -0.967966
     125 -0.967297 -0.367498
     126 -0.909107 0.478436
     127 -0.116760 0.993168
     128 0.776233 0.653541
     129 1.030382 -0.170242
     130 0.469543 -0.885184
     131 -0.489733 -0.874596
     132 -1.034062 -0.150545
     133 -0.761054 0.669492
     134 0.139515 0.990236
     135 0.919876 0.460257
     136 0.958648 -0.386333
     137 0.229472 -0.973434
     138 -0.696931 -0.730501
     139 -1.044235 0.071597
     140 -0.567740 0.828394
     141 0.386704 0.923208
     142 1.011214 0.248324
     143 0.833075 -0.587543
     144 -0.025467 -0.999676
     145 -0.862036 -0.549351
     146 -0.997468 0.291312
     147 -0.339207 0.941296
     148 0.609225 0.800115
     149 1.046760 0.027521
     150 0.658899 -0.762452
     151 -0.278741 -0.960627
     152 -0.977261 -0.344369
     153 -0.895406 0.500404
     154 -0.088915 0.996042
     155 0.794252 0.633749
     156 1.025281 -0.194211
     157 0.444589 -0.897539
     158 -0.514029 -0.861128
     159 -1.037940 -0.126459
     160 -0.742043 0.688606
     161 0.167178 0.985960
     162 0.932448 0.437880
     163 0.947513 -0.409155
     164 0.202135 -0.979429
     165 -0.717127 -0.712316
     166 -1.041892 0.095784
     167 -0.544342 0.843171
     168 0.412398 0.912318
     169 1.017833 0.224550
     170 0.816339 -0.608101
     171 -0.053438 -0.998571
     172 -0.877116 -0.527961
     173 -0.988984 0.314766
     174 -0.312729 0.950261
     175 0.631397 0.783841
     176 1.047191 0.003280
     177 0.637317 -0.779352
