       t        x        y
       0 1.505559 1.092192
       1 2.116275 0.157624
       2 1.842276 -0.725386
       3 0.634721 -1.634924
       4 -1.033495 -1.444347
       5 -1.997970 -0.483633
       6 -2.046830 0.382081
       7 -1.190966 1.343140
       8 0.446636 1.693018
       9 1.754170 0.835347
      10 2.128641 -0.061501
      11 1.622529 -0.979327
      12 0.197210 -1.738889
      13 -1.375880 -1.204105
      14 -2.093001 -0.254787
      15 -1.918100 0.617878
      16 -0.815271 1.560078
      17 0.865099 1.536109
      18 1.937500 0.587724
      19 2.084351 -0.282750
      20 1.336619 -1.235551
      21 -0.253064 -1.731704
      22 -1.653531 -0.947217
      23 -2.130181 -0.034210
      24 -1.726775 0.867068
      25 -0.391932 1.706120
      26 1.233710 1.313003
      27 2.058667 0.353564
      28 1.981932 -0.513030
      29 0.986569 -1.471601
      30 -0.687025 -1.615169
      31 -1.865124 -0.694483
      32 -2.110759 0.185183
      33 -1.469891 1.124264
      34 0.056313 1.749094
      35 1.540193 1.060046
      36 2.120906 0.130151
      37 1.818430 -0.756491
      38 0.581802 -1.653314
      39 -1.079532 -1.416327
      40 -2.013065 -0.454443
      41 -2.034071 0.410779
      42 -1.147259 1.372762
      43 0.500893 1.678335
      44 1.780547 0.803784
      45 2.126222 -0.088825
      46 1.590492 -1.011490
      47 0.141153 -1.744308
      48 -1.414124 -1.172418
      49 -2.100752 -0.226956
      50 -1.897725 0.648250
      51 -0.764690 1.582938
      52 0.914138 1.511108
      53 1.955933 0.557789
      54 2.074799 -0.310857
      55 1.296352 -1.266698
      56 -0.308659 -1.722784
      57 -1.683501 -0.915187
      58 -2.130843 -0.006938
      59 -1.698356 0.898928
      60 -0.336832 1.717589
      61 1.275478 1.282415
      62 2.069590 0.325218
      63 1.964944 -0.542639
      64 0.938779 -1.498015
      65 -0.738673 -1.594122
      66 -1.886981 -0.663787
      67 -2.104354 0.212840
      68 -1.433192 1.156218
      69 0.112568 1.746380
      70 1.573792 1.027866
      71 2.124653 0.102747
      72 1.793579 -0.787788
      73 0.528314 -1.670274
      74 -1.124655 -1.387615
      75 -2.027224 -0.425455
      76 -2.020386 0.439668
      77 -1.102609 1.401799
      78 0.554652 1.662127
      79 1.805910 0.772394
      80 2.122923 -0.116198
      81 1.557420 -1.043672
